EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
638M,-0.49,-159.2M,-28.60%,123.80%,1.45%,-2.97%,4.01B,N/A,21.01,1.31B,3.14,2.43,4.04B,45.75,179.4M,N/A,N/A,911.7M,0.29%,98.46%,Ingersoll Rand Inc. (IR),601.5M,5.82%,0.00%,-3.97%,12.16,370.98M,4.45M,417.66M,2.52,1.28%,1.07%
36.12B,4.94,20.9B,-15.20%,-1.10%,10.31%,26.36%,77.87B,2.58,19.95,23.89B,5.88,1.91,36.93B,45.57,12.39B,1.39,2.36%,43.61B,0.05%,66.41%,Intel Corporation (INTC),35.38B,30.66%,26.72%,26.84%,18.54,4.06B,57.83M,4.1B,1.14,1.42%,1.42%
3.7B,3.77,2.09B,17.40%,28.70%,1.78%,11.40%,6.04B,1.18,34.73,583M,1.04,0.99,16.93B,86.24,2.06B,N/A,N/A,6.04B,1.41%,93.99%,"Intercontinental Exchange, Inc. (ICE)",2.88B,52.07%,31.83%,34.61%,10.94,555.86M,4.73M,561.71M,2.09,0.85%,0.84%
13.51B,6.23,5.5B,-63.10%,-6.50%,2.76%,26.38%,73.62B,4.31,23.08,13.81B,15.47,0.98,66.47B,320.70,16.05B,6.52,5.33%,35.58B,0.13%,58.58%,International Business Machines Corporation (IBM),18.2B,9.26%,106.20%,7.59%,82.69,891.01M,26.83M,891.06M,3.16,3.01%,3.01%
3.12B,1.22,482M,-7.30%,-4.70%,3.51%,6.19%,20.58B,4.15,20.02,5.45B,13.88,1.36,8.41B,106.86,1.65B,2.05,4.26%,6.31B,0.23%,85.41%,International Paper Company (IP),3.06B,8.90%,168.03%,2.34%,52.52,390.95M,6.62M,393.1M,2.47,2.06%,1.68%
1.3B,1.45,567.7M,-65.90%,-6.10%,3.95%,20.69%,8.21B,3.66,6.99,1.63B,4.17,1.01,5.7B,195.62,1.11B,1.08,4.41%,1.81B,0.70%,100.64%,"The Interpublic Group of Companies, Inc. (IPG)",1.43B,12.34%,114.61%,6.91%,21.15,387M,12.95M,390.04M,3.72,5.13%,3.32%
912.92M,3.21,363.23M,-19.10%,-1.10%,2.74%,5.76%,5.08B,2.10,56.35,656.84M,5.85,1.61,4.41B,68.74,493.18M,3.08,2.27%,2.09B,0.28%,98.50%,International Flavors & Fragrances Inc. (IFF),714.1M,11.56%,90.42%,7.14%,45.33,86.55M,44M,106.94M,6.37,63.99%,41.14%
2.56B,7.45,1.97B,247.40%,13.60%,18.68%,44.31%,7.84B,0.85,19.97,5.79B,22.05,3.09,2.63B,50.22,2.15B,2.36,0.58%,6.32B,2.93%,88.31%,Intuit Inc. (INTU),2.59B,30.31%,29.26%,25.10%,29.97,255.31M,1.9M,274.05M,1.43,0.71%,0.69%
1.33B,8.82,1.06B,2.10%,4.00%,6.34%,11.82%,4.36B,N/A,82.68,5.17B,43.93,6.86,79.9M,0.82,906.74M,N/A,N/A,2.86B,0.96%,90.18%,"Intuitive Surgical, Inc. (ISRG)",1.48B,24.32%,0.00%,24.33%,37.25,116.63M,1.3M,117.72M,1.94,1.11%,1.10%
1.51B,1.13,524.8M,13.10%,-6.50%,2.16%,5.43%,6.15B,5.53,31.15,1.41B,3.06,N/A,2.08B,13.86,N/A,0.62,2.73%,1.88B,1.58%,93.69%,Invesco Ltd. (IVZ),1.23B,21.38%,68.58%,12.39%,13.38,339.28M,21.42M,459.17M,3.94,5.71%,4.66%
305.83M,1.97,105.78M,-37.80%,-3.30%,4.77%,4.38%,1.17B,N/A,46.39,1.3B,24.42,10.09,44.48M,1.80,225.47M,N/A,N/A,606.21M,32.91%,66.11%,IPG Photonics Corporation (IPGP),329.96M,18.01%,0.00%,9.04%,22.04,36.19M,876.59k,53.3M,3.18,3.07%,1.64%
2.07B,1.43,279M,643.80%,13.90%,2.05%,4.91%,11.36B,N/A,31.39,1.9B,9.95,1.12,12.9B,205.48,1.77B,N/A,N/A,3.86B,0.74%,92.11%,IQVIA Holdings Inc. (IQV),1.96B,6.89%,0.00%,2.46%,59.38,189.82M,2.3M,191.2M,2.74,1.35%,1.20%
1.43B,0.46,132.98M,-64.30%,-2.40%,3.69%,10.34%,4.17B,6.93,3.25,151.97M,0.53,0.60,11.09B,"1,107.94",514.74M,2.47,7.44%,2.43B,0.98%,86.35%,Iron Mountain Incorporated (IRM),945.73M,19.32%,537.83%,3.19%,14.48,285.07M,33.98M,288.17M,6.63,16.28%,11.79%
449.16M,3.89,298.4M,-0.20%,0.80%,10.62%,19.68%,1.71B,1.11,20.31,147.76M,1.94,1.48,67.03M,4.34,264.8M,1.72,1.16%,688.6M,0.85%,92.85%,"Jack Henry & Associates, Inc. (JKHY)",489.5M,22.17%,44.22%,17.41%,22.41,75.42M,1.64M,76.08M,3.14,2.86%,2.14%
1.13B,N/A,431.53M,0.00%,0.60%,4.78%,7.66%,13.59B,N/A,N/A,1.38B,10.59,1.66,2.73B,44.47,734.97M,0.84,0.73%,2.59B,0.87%,90.20%,Jacobs Engineering Group Inc. (J),1.06B,7.02%,23.03%,3.62%,103.95,122.41M,1.38M,130.09M,2.08,1.21%,1.06%
1.24B,4.74,506.04M,6.40%,11.70%,7.81%,20.79%,9.64B,0.92,24.61,313.3M,2.96,1.65,1.31B,50.21,N/A,1.12,0.76%,1.61B,20.60%,75.11%,"J.B. Hunt Transport Services, Inc. (JBHT)",N/A,7.40%,22.78%,5.25%,90.26,83.8M,1.77M,105.65M,2.37,2.66%,1.68%
1.89B,7.73,881.5M,9.30%,3.90%,5.32%,10.61%,8.07B,2.74,74.63,405.6M,3.56,0.77,5.3B,62.22,1.38B,3.6,3.16%,3B,4.31%,85.28%,The J. M. Smucker Company (SJM),1.6B,17.78%,45.80%,10.92%,70.75,109.63M,8.96M,111.59M,7.09,9.44%,8.03%
26.97B,5.51,14.71B,-56.70%,8.30%,N/A,23.74%,82.58B,2.63,24.49,30.78B,11.69,N/A,37.76B,58.56,N/A,4.04,2.42%,54.16B,0.08%,69.79%,Johnson & Johnson (JNJ),N/A,24.11%,72.23%,17.82%,30.92,2.63B,15.59M,2.63B,1.71,0.59%,0.59%
2.98B,1.24,799M,183.60%,-4.20%,3.21%,4.97%,22.08B,2.75,24.51,1.84B,2.55,1.18,9.23B,49.04,2.34B,1.04,2.02%,7.41B,0.27%,93.50%,Johnson Controls International plc (JCI),2.38B,9.76%,96.30%,4.18%,29.87,717.86M,8.45M,718.37M,1.87,1.35%,1.18%
N/A,8.88,27.41B,42.40%,15.60%,0.96%,10.78%,102.06B,2.58,81.75,1.33T,435.17,N/A,630.3B,N/A,N/A,3.6,2.58%,102.06B,0.85%,71.93%,JPMorgan Chase & Co. (JPM),N/A,35.77%,40.54%,28.54%,33.11,3.02B,20.81M,3.05B,1.33,0.69%,0.68%
652.4M,0.77,257.8M,-81.70%,1.20%,3.06%,5.63%,4.45B,2.34,13.85,1.77B,5.41,1.51,2.29B,50.42,567.76M,0.8,3.11%,2.58B,1.25%,96.26%,"Juniper Networks, Inc. (JNPR)",612M,10.03%,103.90%,5.80%,13.45,324.08M,23.36M,329.74M,4.11,9.84%,7.08%
1.4B,6.54,616.8M,30.30%,-4.90%,6.57%,13.56%,2.63B,1.24,44.50,188.2M,2.07,1.31,3.84B,87.62,605.21M,N/A,N/A,1.41B,0.46%,89.57%,Kansas City Southern (KSU),1.08B,39.45%,25.08%,23.44%,28.06,90.33M,1.08M,93.6M,1.33,1.36%,1.19%
2.29B,3.63,1.25B,41.40%,7.50%,6.35%,36.37%,13.77B,3.26,9.05,435M,1.26,0.67,8.11B,223.10,1.44B,2.28,4.00%,4.73B,0.71%,89.17%,Kellogg Company (K),1.99B,13.12%,66.09%,9.09%,40.15,281.3M,17.31M,343.71M,5.21,6.28%,5.04%
N/A,1.27,1.22B,24.10%,9.50%,0.84%,7.59%,5.66B,3.25,16.48,1.83B,1.87,N/A,14.69B,N/A,N/A,0.74,3.93%,5.67B,0.44%,83.84%,KeyCorp (KEY),N/A,29.85%,58.73%,23.71%,5.85,970.61M,11.84M,975.77M,1.49,1.38%,1.21%
1.1B,3.31,627M,11.30%,8.90%,7.02%,19.90%,4.22B,N/A,17.83,1.76B,9.44,3.12,1.98B,60.21,771.88M,N/A,N/A,2.53B,0.44%,90.76%,"Keysight Technologies, Inc. (KEYS)",1.02B,18.41%,0.00%,14.85%,22.57,185.08M,6.96M,186.08M,4.16,4.90%,3.74%
4.46B,6.87,2.35B,-1.50%,5.50%,13.94%,450.80%,19.14B,3.13,1.85,303M,0.89,0.80,8.39B,965.71,2.3B,4.56,3.45%,7.11B,0.34%,75.52%,Kimberly-Clark Corporation (KMB),3.73B,19.12%,62.30%,12.29%,56.15,337.59M,8.01M,338.7M,3.54,2.38%,2.36%
626.41M,2.02,867.43M,N/A,-8.20%,2.02%,17.27%,1.08B,6.01,12.66,324.98M,0.75,105.26,5.45B,98.04,265.51M,0.64,3.57%,821.93M,2.73%,86.73%,Kimco Realty Corporation (KIM),567.11M,33.65%,32.67%,83.81%,2.53,411.52M,16.6M,432.5M,3.11,4.87%,3.84%
5.96B,0.05,106M,-0.50%,-7.10%,2.99%,0.53%,11.7B,4.59,13.88,1.3B,0.57,0.63,35B,107.48,2.12B,1.05,7.15%,6.68B,13.80%,62.56%,"Kinder Morgan, Inc. (KMI)",4.55B,29.85%,"2,075.00%",1.02%,5.17,1.95B,38.81M,2.26B,2.07,2.00%,1.71%
2.31B,8.74,1.37B,20.20%,9.40%,12.99%,48.44%,6.07B,2.28,19.04,2.3B,14.9,2.59,3.57B,120.91,1.43B,3.6,1.11%,3.36B,0.28%,98.02%,KLA Corporation (KLAC),1.97B,32.61%,39.95%,22.52%,39.13,153.74M,2.04M,154.08M,1.82,1.50%,1.32%
6.77B,-0.40,-494M,-33.60%,6.00%,3.60%,-0.97%,25.78B,4.33,40.24,2.72B,2.22,1.31,28.52B,57.81,3.39B,1.6,4.72%,8.2B,0.73%,78.75%,The Kraft Heinz Company (KHC),4.89B,22.45%,N/A,-1.92%,21.09,673.92M,23.73M,1.22B,3.75,3.67%,1.94%
6.6B,3.74,2.95B,139.90%,6.30%,5.04%,31.78%,130.65B,1.85,13.15,2.18B,2.86,0.83,20.67B,205.80,3.74B,0.72,2.16%,27.85B,0.66%,89.00%,The Kroger Co. (KR),6.51B,2.90%,17.60%,2.29%,167.13,729.46M,53.86M,761.35M,3.75,7.13%,7.07%
1.89B,-0.76,-208M,N/A,14.10%,7.76%,N/A,11.74B,5.53,-5.64,2.62B,9.43,1.48,9.65B,N/A,1.89B,N/A,N/A,5.55B,19.14%,79.26%,"L Brands, Inc. (LB)",2.03B,11.52%,N/A,-1.77%,42.29,170.35M,10.26M,278.11M,1.94,5.22%,3.69%
3.06B,7.35,1.12B,-50.90%,-3.60%,3.36%,4.99%,18.19B,1.75,103.41,1.28B,6.09,1.96,7.65B,36.72,1.89B,4.08,2.18%,5.34B,0.50%,82.49%,"L3Harris Technologies, Inc. (LHX)",2.79B,11.12%,65.51%,6.15%,85.02,208.18M,1.75M,210.11M,1.32,0.84%,0.83%
2.55B,8.62,844.9M,218.70%,33.00%,7.02%,10.90%,12.44B,N/A,84.59,667.2M,6.85,1.36,6.68B,80.93,1.44B,N/A,N/A,3.25B,0.58%,94.57%,Laboratory Corporation of America Holdings (LH),1.93B,16.51%,0.00%,6.79%,127.87,96.87M,1.46M,97.4M,2.15,1.70%,1.50%
3.71B,20.14,2.96B,68.90%,33.80%,15.67%,59.99%,11.93B,1.48,38.43,6.04B,42.28,3.19,5.83B,105.86,1.47B,5.2,0.91%,4.61B,0.22%,87.76%,Lam Research Corporation (LRCX),2.34B,28.67%,24.34%,24.85%,82.31,142.38M,1.88M,142.91M,1.15,1.32%,1.31%
715M,2.02,296M,-31.00%,-12.10%,8.73%,97.05%,3.55B,N/A,2.79,763.9M,5.22,2.91,2.78B,679.85,364.41M,0.94,1.22%,942.2M,0.59%,92.67%,"Lamb Weston Holdings, Inc. (LW)",547.5M,15.00%,45.54%,8.33%,24.28,145.54M,3.39M,146.36M,3.68,3.43%,2.31%
-448M,-2.21,-1.68B,N/A,-67.30%,-4.57%,-42.67%,3.61B,4.96,3.89,2.12B,2.78,1.14,14.33B,405.03,-1.75B,N/A,N/A,1.84B,56.70%,39.54%,Las Vegas Sands Corp. (LVS),-1.31B,-44.52%,N/A,-46.65%,4.73,762.92M,13.73M,763.83M,1.96,59.73%,1.80%
599.3M,1.82,247.6M,18.90%,3.20%,5.35%,18.33%,4.28B,3.38,10.48,348.9M,2.63,1.60,2.06B,148.51,431.94M,1.6,3.73%,895.5M,1.21%,75.27%,"Leggett & Platt, Incorporated (LEG)",602.6M,9.58%,87.91%,5.78%,31.54,131.01M,5.05M,132.52M,4.63,4.90%,3.81%
1.27B,4.26,612M,1.20%,14.40%,5.73%,17.60%,12B,2.00,26.10,512M,3.6,0.94,5.19B,139.68,957.12M,1.36,1.24%,1.55B,0.69%,76.92%,"Leidos Holdings, Inc. (LDOS)",1.56B,8.28%,31.92%,5.10%,84.80,141.41M,1.88M,142.32M,2.87,1.59%,1.32%
3.19B,7.85,2.44B,30.90%,-2.10%,6.53%,14.46%,22.49B,0.39,57.55,2.75B,8.78,7.50,7.54B,41.68,4.48B,1,1.06%,5.17B,2.02%,96.46%,Lennar Corporation (LEN),4.19B,13.78%,7.96%,10.96%,72.68,285.97M,8.36M,275.12M,3.03,3.49%,2.67%
8.12B,6.79,6.19B,41.50%,21.70%,N/A,160.98%,24.54B,2.28,5.32,3.63B,4.01,N/A,17.22B,344.76,N/A,3.4,1.68%,19.06B,0.16%,79.17%,Eli Lilly and Company (LLY),N/A,27.91%,45.72%,25.24%,26.89,744.48M,6.67M,956.58M,1.23,0.84%,0.70%
808.33M,2.56,499M,-66.90%,-4.80%,0.14%,2.35%,17.44B,2.41,118.04,6.21B,32.29,11.81,7.13B,31.42,N/A,1.68,3.24%,775M,5.84%,79.93%,Lincoln National Corporation (LNC),N/A,4.44%,62.50%,2.86%,90.07,180.99M,6.07M,193.26M,4.01,3.58%,3.14%
8.63B,4.71,2.5B,50.70%,2.70%,2.86%,5.18%,27.24B,2.06,90.22,3.75B,7.16,0.80,16.15B,32.58,5.24B,4.24,1.68%,11.86B,0.18%,81.96%,Linde plc (LIN),7.43B,14.70%,81.96%,9.18%,51.72,523.55M,3.33M,525.36M,1.93,0.64%,0.64%
-862.59M,-6.97,-1.47B,N/A,-95.10%,-7.91%,-121.23%,4.51B,N/A,-0.47,2.63B,12.3,1.08,6.52B,"1,220.68",-128.01M,N/A,N/A,3.08B,26.78%,76.32%,"Live Nation Entertainment, Inc. (LYV)",-520.04M,-29.24%,0.00%,-31.93%,21.34,142.66M,13.23M,213.42M,5.54,9.48%,6.20%
1.28B,1.96,598.51M,27.10%,-3.20%,5.01%,11.64%,11.68B,N/A,17.70,421.38M,1.38,2.13,4.49B,82.58,901.84M,N/A,N/A,4.86B,0.66%,98.42%,LKQ Corporation (LKQ),1.23B,8.43%,0.00%,5.12%,38.28,280.41M,5.99M,304.34M,2.93,2.21%,1.97%
10B,24.30,6.89B,19.60%,7.30%,11.29%,149.59%,65.4B,2.54,21.56,3.16B,11.28,1.39,13.27B,219.76,4.74B,10.4,3.04%,8.68B,0.08%,77.79%,Lockheed Martin Corporation (LMT),8.18B,13.57%,40.00%,10.45%,233.56,237.4M,2.77M,279.78M,1.37,1.17%,0.99%
561M,-3.32,-931M,82.90%,-5.10%,-0.13%,-6.28%,12.55B,0.56,66.34,5.19B,19.45,0.47,10.61B,55.31,944M,0.25,0.52%,3.81B,15.59%,64.77%,Loews Corporation (L),1.74B,-1.38%,N/A,-7.42%,44.77,227.72M,2.54M,269.21M,3.46,1.12%,0.94%
10.8B,7.07,5.34B,-34.00%,28.30%,12.82%,164.35%,85.31B,1.72,5.42,10.1B,13.79,1.38,26.24B,644.36,8.18B,2.4,1.37%,23.1B,0.06%,79.58%,"Lowe's Companies, Inc. (LOW)",11.67B,10.89%,31.69%,6.29%,112.96,732M,7.52M,732.72M,1.84,1.03%,1.03%
8.31B,N/A,-1.23B,N/A,-8.00%,3.63%,-10.00%,20.71B,10.40,N/A,406M,0.38,0.48,32.22B,288.62,1.78B,1,8.01%,11.78B,N/A,N/A,"Lumen Technologies, Inc. (LUMN)",6.52B,17.40%,84.03%,-5.95%,19.19,976.12M,72.36M,1.1B,3.86,7.51%,6.60%
3.55B,4.24,1.42B,39.80%,-3.00%,4.06%,17.47%,27.75B,4.47,23.87,2.46B,7.38,2.12,17.18B,211.98,N/A,4.2,4.43%,3.39B,23.51%,71.68%,LyondellBasell Industries N.V. (LYB),N/A,7.71%,118.31%,5.12%,82.87,258.01M,3.34M,333.92M,1.99,1.31%,1.00%
N/A,9.94,1.28B,-4.40%,-0.70%,1.03%,8.48%,5.15B,2.46,116.39,26.29B,204.82,N/A,4.44B,N/A,N/A,4.4,3.09%,5.15B,0.43%,85.02%,M&T Bank Corporation (MTB),N/A,35.66%,44.27%,26.25%,40.06,127.52M,1.93M,128.29M,2.2,1.70%,1.50%
1.89B,-1.44,-1.13B,N/A,-39.10%,-1.93%,-9.78%,3.53B,1.89,13.79,1.12B,1.42,1.23,6.07B,55.70,147.25M,0.12,1.37%,3.81B,0.26%,70.28%,Marathon Oil Corporation (MRO),1.76B,-17.10%,N/A,-32.08%,4.45,723.57M,55.05M,789.39M,1.82,9.03%,6.97%
779M,-15.28,-11.12B,-56.70%,-42.20%,N/A,-30.63%,69.9B,3.64,34.49,618M,0.95,N/A,33.52B,109.86,N/A,2.32,4.66%,4.16B,0.56%,75.97%,Marathon Petroleum Corporation (MPC),N/A,-3.70%,N/A,-14.19%,107.70,647.19M,31.28M,650.65M,5.25,4.83%,4.81%
408.6M,7.85,299.38M,45.10%,32.00%,20.49%,34.71%,689.12M,0.62,25.53,460.86M,12.32,6.19,93.61M,9.80,N/A,2.64,0.48%,498.15M,2.92%,93.74%,MarketAxess Holdings Inc. (MKTX),N/A,54.38%,30.57%,43.44%,18.45,36.32M,427.88k,37.96M,1.41,1.30%,1.13%
1.13B,0.54,176M,-74.20%,-65.10%,1.69%,32.99%,2.99B,1.32,0.71,1.58B,4.86,0.59,11.96B,"5,222.27",163.38M,N/A,N/A,4.06B,16.59%,60.40%,"Marriott International, Inc. (MAR)",2.12B,22.54%,181.13%,5.88%,9.18,276.12M,7M,324.33M,2.91,2.65%,2.16%
4.06B,3.94,2.02B,-4.30%,3.60%,6.45%,23.79%,17.22B,1.79,18.23,2.09B,4.11,1.25,13.58B,146.64,3.22B,1.86,1.65%,7.35B,0.11%,89.61%,"Marsh & McLennan Companies, Inc. (MMC)",3.38B,19.29%,46.70%,11.70%,34.04,506.58M,3.74M,508M,2.21,0.74%,0.74%
1.33B,11.54,721M,39.70%,8.40%,5.65%,12.82%,4.43B,0.87,94.60,207.3M,3.33,3.34,2.63B,44.56,576.49M,2.28,0.72%,1.26B,0.46%,101.71%,"Martin Marietta Materials, Inc. (MLM)",1.05B,21.14%,19.41%,16.27%,71.14,58.5M,733.8k,62.27M,1.1,1.33%,1.18%
1.39B,4.60,801M,-57.00%,13.50%,14.58%,472.33%,7.19B,1.13,0.75,1.33B,5.16,1.80,2.98B,708.55,996.5M,0.94,1.71%,2.59B,0.77%,95.15%,Masco Corporation (MAS),953M,17.53%,22.53%,17.03%,27.23,255.83M,4.63M,261.68M,2.13,2.03%,1.77%
8.73B,6.37,6.41B,-15.00%,-6.70%,16.22%,102.51%,15.3B,0.57,6.42,10.6B,10.65,1.61,12.67B,194.45,6.17B,1.76,0.51%,15.3B,11.51%,77.39%,Mastercard Incorporated (MA),7.22B,53.29%,32.03%,41.90%,15.27,985.15M,5.79M,986M,1.22,0.66%,0.58%
1.18B,2.78,747.4M,-6.00%,4.90%,5.73%,20.21%,5.6B,1.61,14.71,423.6M,1.59,0.68,5.05B,128.05,681.35M,1.36,1.51%,2.3B,0.22%,83.22%,"McCormick & Company, Incorporated (MKC)",1.04B,18.37%,44.60%,13.34%,21.02,261.85M,5.32M,248.7M,3.89,N/A,1.99%
898.64M,2.68,721.95M,25.90%,14.00%,13.15%,39.53%,2.35B,2.98,7.19,1.81B,6.74,5.67,1.05B,54.51,539.58M,N/A,N/A,1.43B,0.60%,88.88%,"Maxim Integrated Products, Inc. (MXIM)",795.13M,33.54%,53.73%,30.66%,8.80,266.15M,11.66M,268.04M,5.57,5.65%,4.35%
7.51B,6.31,4.73B,-12.40%,-0.70%,9.01%,N/A,19.21B,2.51,-10.42,3.45B,4.59,1.01,48.52B,N/A,5.51B,5.16,2.41%,9.75B,0.06%,68.80%,McDonald's Corporation (MCD),6.27B,37.56%,79.87%,24.63%,25.61,750.38M,5.73M,745.11M,1.79,0.77%,0.77%
4.06B,-25.42,-4.19B,N/A,5.80%,3.22%,-90.49%,237.62B,0.95,-3.00,3.58B,22.47,1.01,9.71B,957.04,4.76B,1.68,0.91%,12.02B,0.05%,89.03%,McKesson Corporation (MCK),5.83B,1.33%,N/A,-1.76%,"1,443.85",159.04M,2M,162.12M,2,1.25%,1.25%
6.56B,2.74,3.71B,-64.10%,-0.80%,2.73%,7.35%,27.87B,2.08,37.28,14.28B,10.61,2.16,30.01B,59.64,5.38B,2.32,1.97%,19.64B,0.06%,83.39%,Medtronic plc (MDT),6B,14.63%,85.82%,13.30%,20.77,1.34B,7.35M,1.35B,1.82,0.55%,0.55%
18.14B,2.78,7.07B,N/A,5.40%,N/A,25.63%,47.99B,2.94,11.54,7.36B,2.91,N/A,28.74B,98.19,N/A,2.6,3.48%,34.56B,0.08%,75.98%,"Merck & Co., Inc. (MRK)",N/A,30.77%,89.21%,14.72%,18.89,2.51B,18.58M,2.53B,1.95,0.73%,0.73%
8.06B,5.68,5.19B,-73.40%,13.30%,0.65%,7.67%,67.84B,3.66,83.50,23.7B,26.54,1.37,48.47B,64.78,N/A,1.84,3.33%,19.98B,15.25%,77.35%,"MetLife, Inc. (MET)",N/A,11.70%,31.31%,7.97%,74.29,756.37M,14.7M,892.9M,2.75,1.95%,1.65%
854.25M,24.91,602.74M,12.20%,11.10%,17.76%,171.37%,3.09B,N/A,12.04,94.25M,4.03,1.26,1.44B,508.02,527.74M,N/A,N/A,1.8B,1.68%,99.47%,Mettler-Toledo International Inc. (MTD),724.7M,25.81%,0.00%,19.54%,129.18,23.03M,448.03k,23.79M,4,2.21%,1.91%
-867.94M,-2.09,-1.03B,N/A,-54.70%,-3.70%,-10.99%,4.92B,N/A,13.16,5.1B,10.32,3.20,20.77B,184.65,N/A,0.01,0.03%,1.95B,12.72%,66.33%,MGM Resorts International (MGM),N/A,-42.38%,10.48%,-21.00%,9.95,400.94M,20.33M,493.94M,2.05,5.59%,4.12%
2.05B,1.26,333.3M,-88.40%,5.00%,3.20%,6.11%,5.3B,1.82,19.67,372.7M,1.38,0.85,9.18B,173.33,1.74B,N/A,N/A,3.24B,2.06%,96.36%,Microchip Technology Incorporated (MCHP),1.84B,16.51%,57.65%,6.29%,21.04,263.56M,6.3M,269.26M,3.28,2.68%,2.34%
9.25B,2.65,3B,63.50%,12.20%,4.12%,7.86%,22.06B,N/A,35.73,7.03B,6.29,2.91,7.21B,18.08,-2.17B,N/A,N/A,6.55B,0.19%,84.31%,"Micron Technology, Inc. (MU)",8.26B,15.45%,0.00%,13.59%,19.84,1.12B,21.04M,1.12B,1,1.89%,1.88%
71.69B,6.71,51.31B,32.70%,16.70%,12.81%,42.70%,153.28B,1.71,17.26,131.99B,17.5,2.58,82.78B,63.56,34.79B,2.24,0.92%,96.94B,0.06%,71.84%,Microsoft Corporation (MSFT),68.03B,39.24%,31.15%,33.47%,20.23,7.43B,44.53M,7.56B,1.39,0.59%,0.59%
936.76M,2.19,251.27M,-44.30%,1.60%,2.38%,4.27%,1.68B,3.37,51.34,25.2M,0.22,0.04,4.56B,74.94,N/A,4.1,2.97%,985.21M,0.68%,93.48%,"Mid-America Apartment Communities, Inc. (MAA)",N/A,25.48%,182.65%,15.19%,14.69,113.56M,1.36M,114.37M,2.07,1.66%,1.19%
1.27B,49.90,532.04M,31.90%,2.20%,3.04%,6.68%,9.33B,N/A,114.62,1.19B,16.7,2.16,2.95B,36.14,1.56B,N/A,N/A,2.77B,18.75%,77.08%,"Mohawk Industries, Inc. (MHK)",1.8B,7.09%,0.00%,5.70%,131.20,58.48M,1.42M,71.2M,3.26,2.97%,1.99%
2.27B,2.69,584.5M,N/A,-3.10%,3.18%,4.37%,9.85B,2.67,62.36,731.3M,3.38,0.61,8.79B,63.81,1.27B,N/A,N/A,4.2B,11.39%,87.48%,Molson Coors Beverage Company (TAP),2.1B,14.86%,42.38%,5.94%,45.42,192.95M,10.39M,200.3M,4.96,6.94%,4.80%
5.42B,2.47,3.56B,57.70%,5.60%,4.07%,12.99%,26.58B,1.91,19.43,3.63B,2.57,0.66,21.05B,76.11,3.84B,N/A,N/A,10.45B,0.11%,78.63%,"Mondelez International, Inc. (MDLZ)",3.96B,16.20%,48.58%,13.37%,18.58,1.41B,11.13M,1.41B,1.58,0.80%,0.79%
1.61B,2.22,1.19B,16.30%,9.90%,17.86%,27.30%,4.42B,N/A,8.77,1.67B,3.17,3.65,21.73M,0.47,940.53M,N/A,N/A,2.52B,29.14%,65.79%,Monster Beverage Corporation (MNST),1.24B,35.03%,0.00%,26.99%,8.31,377.85M,5.17M,527.92M,2.33,1.39%,0.98%
2.69B,9.60,1.82B,22.90%,9.40%,14.65%,152.33%,5.31B,1.07,7.97,2.59B,13.78,2.49,6.89B,407.21,1.86B,2.24,0.80%,3.44B,0.36%,93.29%,Moody's Corporation (MCO),1.97B,46.63%,22.68%,34.32%,28.30,187.03M,2.17M,187.8M,2.58,1.34%,1.16%
N/A,6.46,10.5B,51.20%,25.60%,N/A,12.96%,48.2B,2.33,50.67,578.41B,319.57,N/A,303.76B,338.20,N/A,1.4,1.90%,42.8B,21.20%,58.63%,Morgan Stanley (MS),N/A,37.15%,21.67%,22.81%,30.07,1.43B,28.23M,1.81B,2.26,1.97%,1.56%
1.08B,-2.86,-1.08B,N/A,-13.50%,0.63%,-11.71%,8.3B,2.08,22.51,923M,2.43,1.31,4.98B,57.19,468.04M,0.2,0.72%,897.3M,9.59%,77.43%,The Mosaic Company (MOS),1.62B,2.40%,N/A,-13.04%,21.91,343.98M,6.25M,379.09M,1.22,2.05%,1.65%
1.76B,5.45,949M,69.50%,-4.30%,7.88%,N/A,7.41B,1.79,-3.29,1.25B,7.4,1.24,5.58B,N/A,1.31B,2.84,1.56%,3.61B,0.43%,90.38%,"Motorola Solutions, Inc. (MSI)",1.61B,18.29%,48.26%,12.80%,43.61,168.82M,1.64M,169.52M,2.32,1.26%,0.97%
971.51M,7.12,601.82M,27.20%,9.10%,N/A,N/A,1.7B,1.01,-4.66,1.3B,15.77,N/A,3.54B,N/A,N/A,3.12,0.75%,1.4B,3.19%,94.64%,MSCI Inc. (MSCI),811.11M,52.19%,41.01%,35.50%,20.25,79.99M,647.33k,82.6M,1.22,0.91%,0.78%
1.54B,5.59,933M,10.30%,37.40%,5.27%,15.45%,5.63B,1.74,39.11,2.94B,17.87,1.56,5.93B,92.14,N/A,1.96,1.38%,2.9B,18.69%,77.96%,"Nasdaq, Inc. (NDAQ)",N/A,23.90%,34.70%,16.58%,34.23,114.44M,2.65M,164.04M,2.52,2.32%,1.62%
